,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1554,Unlabeled 1554,Unlabeled 1554,Unlabeled 1555,Unlabeled 1555,Unlabeled 1555,Unlabeled 1556,Unlabeled 1556,Unlabeled 1556,Unlabeled 1557,Unlabeled 1557,Unlabeled 1557,Unlabeled 1558,Unlabeled 1558,Unlabeled 1558,Unlabeled 1559,Unlabeled 1559,Unlabeled 1559,Unlabeled 1561,Unlabeled 1561,Unlabeled 1561,Unlabeled 1563,Unlabeled 1563,Unlabeled 1563,Unlabeled 1565,Unlabeled 1565,Unlabeled 1565,weight:Marker1,weight:Marker1,weight:Marker1,weight:Marker2,weight:Marker2,weight:Marker2,weight:Marker3,weight:Marker3,weight:Marker3
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","DFD50","DFD50","DFD50","DFD60","DFD60","DFD60","DFD70","DFD70","DFD70","DFD80","DFD80","DFD80","DFD90","DFD90","DFD90","DFDA0","DFDA0","DFDA0","DFE40","DFE40","DFE40","DFE60","DFE60","DFE60","DFE80","DFE80","DFE80","DFE00","DFE00","DFE00","DFDE0","DFDE0","DFDE0","DFD30","DFD30","DFD30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.025000,-0.034354,-0.169319,-0.729871,0.661392,0.084270,0.531353,0.061194,1.784317,0.159755,-1.824200,1.778880,0.558598,-1.841443,1.641343,0.284166,-1.706501,1.584737,0.201419,-1.683902,1.520727,0.151933,-1.992885,1.517619,0.409247,-1.992553,,,,,,,,,,0.085267,0.500338,0.044293,0.090182,0.561206,0.043854,0.077361,0.532515,0.095436
10,0.027778,-0.036149,-0.168269,-0.729302,0.662191,0.084184,0.531403,0.061532,1.784342,0.159746,-1.824247,1.778811,0.558590,-1.841368,1.641331,0.284175,-1.706460,1.584707,0.201430,-1.683852,1.520703,0.151930,-1.992853,1.517635,0.409253,-1.992556,,,,,,,,,,0.085146,0.500381,0.044664,0.089982,0.561238,0.044145,0.077424,0.532589,0.095788
11,0.030556,-0.038521,-0.166912,-0.728947,0.662792,0.084106,0.531464,0.061893,1.784302,0.159759,-1.824181,1.778820,0.558571,-1.841368,1.641308,0.284176,-1.706418,1.584725,0.201422,-1.683897,1.520756,0.151911,-1.992948,1.517693,0.409247,-1.992659,,,,,,,,,,0.084987,0.500425,0.045072,0.089795,0.561286,0.044440,0.077537,0.532683,0.096168
12,0.033333,-0.040557,-0.165994,-0.728553,0.663334,0.084031,0.531536,0.062210,1.784298,0.159766,-1.824182,1.778870,0.558585,-1.841422,1.641313,0.284173,-1.706432,1.584713,0.201406,-1.683864,1.520705,0.151937,-1.992848,1.517003,0.409531,-1.991824,,,,,,,,,,0.084857,0.500462,0.045417,0.089625,0.561332,0.044697,0.077612,0.532814,0.096517
13,0.036111,-0.042351,-0.164960,-0.728091,0.663987,0.083947,0.531598,0.062539,1.784326,0.159737,-1.824217,1.778865,0.558588,-1.841420,1.641322,0.284176,-1.706429,1.584737,0.201427,-1.683901,1.520704,0.151936,-1.992851,1.517653,0.409250,-1.992607,,,,,,,,,,0.084731,0.500503,0.045761,0.089440,0.561381,0.044973,0.077670,0.532910,0.096885
14,0.038889,-0.044542,-0.163916,-0.727795,0.664426,0.083885,0.531670,0.062878,1.784344,0.159750,-1.824232,1.778853,0.558578,-1.841415,1.641343,0.284174,-1.706485,1.584727,0.201419,-1.683877,1.520704,0.151936,-1.992825,1.517037,0.409531,-1.991870,,,,,,,,,,0.084592,0.500542,0.046164,0.089290,0.561453,0.045238,0.077773,0.533014,0.097232
15,0.041667,-0.046867,-0.162448,-0.726709,0.665814,0.083817,0.531745,0.063189,1.784263,0.159772,-1.824127,1.778845,0.558587,-1.841377,1.641350,0.284171,-1.706487,1.584732,0.201417,-1.683889,1.520730,0.151921,-1.992898,1.517642,0.409238,-1.992617,,,,,,,,,,0.084507,0.500616,0.046501,0.089039,0.561499,0.045487,0.077903,0.533121,0.097578
16,0.044444,0.578251,-0.547636,-0.361995,-0.484438,0.083882,0.531785,0.063429,1.784319,0.159750,-1.824225,1.778818,0.558577,-1.841358,1.641335,0.284173,-1.706456,1.584689,0.201418,-1.683836,1.520721,0.151923,-1.992868,1.517668,0.409240,-1.992640,,,,,,,,,,0.084821,0.500588,0.046648,0.077983,0.533204,0.097914,0.088841,0.561562,0.045724
17,0.047222,0.577925,-0.548600,-0.363346,-0.482722,0.083805,0.531859,0.063749,1.784337,0.159750,-1.824235,1.778833,0.558603,-1.841363,1.641315,0.284177,-1.706420,1.584738,0.201418,-1.683902,1.520734,0.151915,-1.992906,1.517003,0.409526,-1.991825,,,,,,,,,,0.084701,0.500649,0.046991,0.078063,0.533302,0.098264,0.088652,0.561626,0.045992
18,0.050000,0.577618,-0.549830,-0.364736,-0.480637,0.083745,0.531927,0.064058,1.784309,0.159747,-1.824201,1.778855,0.558585,-1.841413,1.641328,0.284177,-1.706453,1.584683,0.201430,-1.683831,1.520737,0.151917,-1.992889,1.517637,0.409250,-1.992578,,,,,,,,,,0.084585,0.500698,0.047350,0.078183,0.533403,0.098604,0.088467,0.561680,0.046220
19,0.052778,0.053019,0.158398,0.721758,-0.671688,0.083668,0.532010,0.064363,1.784291,0.159772,-1.824157,1.778818,0.558597,-1.841363,1.641316,0.284170,-1.706454,1.584698,0.201427,-1.683851,1.520735,0.151937,-1.992900,1.517614,0.409254,-1.992560,,,,,,,,,,0.084488,0.500762,0.047676,0.088207,0.561759,0.046516,0.078308,0.533508,0.098897
20,0.055556,0.054983,0.157327,0.720904,-0.672698,0.083608,0.532090,0.064654,1.784304,0.159770,-1.824186,1.778847,0.558584,-1.841390,1.641355,0.284168,-1.706482,1.584674,0.201423,-1.683838,1.520719,0.151926,-1.992879,1.517661,0.409255,-1.992633,,,,,,,,,,0.084409,0.500821,0.047998,0.088008,0.561823,0.046752,0.078407,0.533627,0.099213
21,0.058333,-0.577335,0.552016,0.369957,0.474441,0.083556,0.532170,0.064980,1.784289,0.159760,-1.824164,1.778830,0.558578,-1.841377,1.641324,0.284164,-1.706451,1.584670,0.201426,-1.683823,1.520725,0.151931,-1.992864,1.517651,0.409247,-1.992591,,,,,,,,,,0.084353,0.500910,0.048347,0.078511,0.533711,0.099586,0.087803,0.561888,0.047008
22,0.061111,-0.058734,-0.154430,-0.719505,0.674548,0.083515,0.532242,0.065272,1.784296,0.159764,-1.824173,1.778886,0.558586,-1.841440,1.641344,0.284176,-1.706470,1.584706,0.201422,-1.683852,1.520722,0.151934,-1.992870,1.517630,0.409248,-1.992561,,,,,,,,,,0.084244,0.500964,0.048651,0.087647,0.561977,0.047271,0.078654,0.533784,0.099894
23,0.063889,-0.060717,-0.152856,-0.718670,0.675620,0.083475,0.532309,0.065536,1.784280,0.159754,-1.824157,1.778843,0.558601,-1.841405,1.641310,0.284178,-1.706430,1.584696,0.201423,-1.683826,1.520718,0.151943,-1.992851,1.517677,0.409236,-1.992659,,,,,,,,,,0.084171,0.501026,0.048940,0.087454,0.562044,0.047504,0.078801,0.533858,0.100163
24,0.066667,-0.062795,-0.151160,-0.717460,0.677095,0.083411,0.532385,0.065813,1.784272,0.159753,-1.824136,1.778879,0.558581,-1.841469,1.641349,0.284171,-1.706489,1.584670,0.201420,-1.683806,1.520727,0.151927,-1.992884,1.517057,0.409517,-1.991902,,,,,,,,,,0.084099,0.501103,0.049243,0.087195,0.562115,0.047754,0.078939,0.533938,0.100442
25,0.069444,-0.065002,-0.149419,-0.716632,0.678150,0.083377,0.532452,0.066120,1.784291,0.159761,-1.824180,1.778834,0.558583,-1.841378,1.641310,0.284168,-1.706435,1.584710,0.201436,-1.683836,1.520746,0.151919,-1.992920,1.517027,0.409526,-1.991839,,,,,,,,,,0.084021,0.501153,0.049572,0.087003,0.562189,0.048020,0.079109,0.534014,0.100769
26,0.072222,-0.066637,-0.147922,-0.715733,0.679268,0.083350,0.532515,0.066391,1.784282,0.159768,-1.824134,1.778841,0.558591,-1.841384,1.641300,0.284185,-1.706416,1.584706,0.201422,-1.683854,1.520754,0.151914,-1.992901,1.517663,0.409244,-1.992629,,,,,,,,,,0.083982,0.501222,0.049839,0.086825,0.562250,0.048255,0.079243,0.534072,0.101080
27,0.075000,-0.068292,-0.146097,-0.714725,0.680559,0.083304,0.532583,0.066667,1.784328,0.159754,-1.824233,1.778854,0.558590,-1.841439,1.641315,0.284179,-1.706449,1.584717,0.201429,-1.683873,1.520724,0.151924,-1.992900,1.517041,0.409526,-1.991866,,,,,,,,,,0.083923,0.501291,0.050111,0.086606,0.562334,0.048533,0.079381,0.534124,0.101357
28,0.077778,-0.069967,-0.144372,-0.713639,0.681895,0.083297,0.532652,0.066934,1.784278,0.159775,-1.824158,1.778841,0.558583,-1.841393,1.641317,0.284173,-1.706445,1.584711,0.201421,-1.683882,1.520765,0.151923,-1.992932,1.517642,0.409250,-1.992602,,,,,,,,,,0.083913,0.501380,0.050374,0.086425,0.562399,0.048777,0.079553,0.534176,0.101652
29,0.080556,-0.071670,-0.142475,-0.712566,0.683238,0.083280,0.532710,0.067206,1.784318,0.159760,-1.824207,1.778865,0.558590,-1.841416,1.641335,0.284174,-1.706470,1.584674,0.201425,-1.683814,1.520702,0.151936,-1.992845,1.517666,0.409250,-1.992626,,,,,,,,,,0.083886,0.501444,0.050630,0.086227,0.562463,0.049051,0.079725,0.534225,0.101937
30,0.083333,-0.073231,-0.140726,-0.711918,0.684110,0.083256,0.532768,0.067489,1.784307,0.159763,-1.824180,1.778887,0.558592,-1.841457,1.641339,0.284173,-1.706486,1.584658,0.201438,-1.683804,1.520683,0.151928,-1.992830,1.517637,0.409262,-1.992560,,,,,,,,,,0.083823,0.501502,0.050921,0.086071,0.562544,0.049336,0.079874,0.534259,0.102211
31,0.086111,-0.074787,-0.138837,-0.711186,0.685088,0.083249,0.532823,0.067755,1.784272,0.159768,-1.824120,1.778847,0.558586,-1.841414,1.641288,0.284172,-1.706408,1.584694,0.201426,-1.683859,1.520730,0.151909,-1.992898,1.517015,0.409517,-1.991832,,,,,,,,,,0.083783,0.501570,0.051168,0.085923,0.562625,0.049573,0.080042,0.534275,0.102525
32,0.088889,-0.076578,-0.136624,-0.710450,0.686098,0.083274,0.532884,0.068035,1.784296,0.159769,-1.824189,1.778858,0.558583,-1.841408,1.641323,0.284178,-1.706451,1.584717,0.201414,-1.683880,1.520732,0.151900,-1.992908,1.517645,0.409249,-1.992602,,,,,,,,,,0.083760,0.501638,0.051411,0.085790,0.562689,0.049868,0.080272,0.534323,0.102825
33,0.091667,-0.077828,-0.134643,-0.709761,0.687061,0.083278,0.532924,0.068296,1.784299,0.159773,-1.824164,1.778868,0.558588,-1.841434,1.641304,0.284184,-1.706435,1.584720,0.201417,-1.683881,1.520673,0.151942,-1.992768,1.517662,0.409240,-1.992627,,,,,,,,,,0.083735,0.501696,0.051642,0.085655,0.562750,0.050163,0.080445,0.534327,0.103085
34,0.094444,-0.079277,-0.132443,-0.708696,0.688421,0.083259,0.532965,0.068565,1.784258,0.159765,-1.824124,1.778811,0.558603,-1.841369,1.641328,0.284171,-1.706459,1.584708,0.201414,-1.683856,1.520725,0.151928,-1.992877,1.517637,0.409248,-1.992584,,,,,,,,,,0.083705,0.501754,0.051885,0.085453,0.562814,0.050467,0.080619,0.534326,0.103345
35,0.097222,-0.080822,-0.130173,-0.708097,0.689290,0.083270,0.533004,0.068843,1.784308,0.159762,-1.824179,1.778835,0.558575,-1.841401,1.641333,0.284166,-1.706469,1.584683,0.201435,-1.683804,1.520722,0.151930,-1.992864,1.517699,0.409253,-1.992656,,,,,,,,,,0.083662,0.501810,0.052123,0.085324,0.562878,0.050760,0.080824,0.534325,0.103647
36,0.100000,-0.082065,-0.127865,-0.707433,0.690257,0.083290,0.533036,0.069109,1.784315,0.159750,-1.824193,1.778843,0.558605,-1.841417,1.641328,0.284187,-1.706444,1.584696,0.201411,-1.683865,1.520723,0.151946,-1.992844,1.517029,0.409512,-1.991854,,,,,,,,,,0.083643,0.501862,0.052338,0.085202,0.562952,0.051050,0.081026,0.534294,0.103940
37,0.102778,-0.083384,-0.125533,-0.706836,0.691138,0.083310,0.533064,0.069368,1.784278,0.159767,-1.824162,1.778835,0.558580,-1.841395,1.641310,0.284180,-1.706440,1.584684,0.201434,-1.683830,1.520729,0.151917,-1.992896,1.517628,0.409264,-1.992550,,,,,,,,,,0.083614,0.501911,0.052545,0.085083,0.563007,0.051349,0.081233,0.534274,0.104211
38,0.105556,,,,,,,,1.784271,0.159766,-1.824157,1.778802,0.558601,-1.841352,1.641278,0.284181,-1.706394,1.584681,0.201423,-1.683820,1.520742,0.151928,-1.992892,1.517661,0.409245,-1.992633,,,,,,,,,,0.083590,0.501957,0.052736,0.084996,0.563072,0.051647,0.081468,0.534246,0.104487
39,0.108333,0.085941,0.120872,0.705839,-0.692672,0.083375,0.533103,0.069870,1.784286,0.159769,-1.824160,1.778883,0.558592,-1.841471,1.641335,0.284175,-1.706476,1.584636,0.201444,-1.683772,1.520705,0.151935,-1.992832,1.517015,0.409524,-1.991823,,,,,,,,,,0.083566,0.501996,0.052957,0.084894,0.563116,0.051925,0.081666,0.534198,0.104730
40,0.111111,0.087076,0.118498,0.705229,-0.693562,0.083379,0.533116,0.070149,1.784323,0.159757,-1.824219,1.778858,0.558587,-1.841437,1.641335,0.284183,-1.706466,1.584722,0.201422,-1.683898,1.520718,0.151924,-1.992874,1.517672,0.409248,-1.992632,,,,,,,,,,0.083525,0.502058,0.053197,0.084761,0.563147,0.052263,0.081850,0.534142,0.104986
41,0.113889,0.088177,0.115781,0.704763,-0.694355,0.083406,0.533114,0.070419,1.784270,0.159773,-1.824143,1.778838,0.558601,-1.841388,1.641351,0.284168,-1.706466,1.584692,0.201434,-1.683839,1.520729,0.151928,-1.992882,1.517654,0.409244,-1.992608,,,,,,,,,,0.083490,0.502095,0.053392,0.084658,0.563193,0.052587,0.082071,0.534053,0.105278
