,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1599,Unlabeled 1599,Unlabeled 1599,Unlabeled 1600,Unlabeled 1600,Unlabeled 1600,Unlabeled 1601,Unlabeled 1601,Unlabeled 1601,Unlabeled 1602,Unlabeled 1602,Unlabeled 1602,Unlabeled 1603,Unlabeled 1603,Unlabeled 1603,Unlabeled 1604,Unlabeled 1604,Unlabeled 1604,Unlabeled 1605,Unlabeled 1605,Unlabeled 1605,Unlabeled 1606,Unlabeled 1606,Unlabeled 1606,Unlabeled 1607,Unlabeled 1607,Unlabeled 1607,Unlabeled 1608,Unlabeled 1608,Unlabeled 1608,Unlabeled 1609,Unlabeled 1609,Unlabeled 1609,Unlabeled 1610,Unlabeled 1610,Unlabeled 1610,Unlabeled 1611,Unlabeled 1611,Unlabeled 1611,Unlabeled 1612,Unlabeled 1612,Unlabeled 1612
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","DFCB0","DFCB0","DFCB0","E0510","E0510","E0510","E0570","E0570","E0570","E05C0","E05C0","E05C0","E05F0","E05F0","E05F0","E0680","E0680","E0680","E06A0","E06A0","E06A0","E06B0","E06B0","E06B0","E0730","E0730","E0730","E0740","E0740","E0740","E07A0","E07A0","E07A0","E07B0","E07B0","E07B0","E07C0","E07C0","E07C0","E0950","E0950","E0950"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.016667,,,,,,,,0.092905,0.289922,-0.153990,-0.185203,0.420041,-0.013117,-0.189984,0.422598,0.242442,0.357377,0.423266,0.253781,0.084951,0.287015,0.391793,0.197893,0.296604,0.129386,0.236905,0.297334,0.106534,-0.059605,0.293460,0.119508,-0.041369,0.293517,0.088128,0.077659,0.552939,0.396099,0.212412,0.696037,0.124995,-0.041904,0.691811,0.119702,0.093059,0.547007,-0.152127,0.362629,0.424508,-0.006184
7,0.019444,,,,,,,,0.092903,0.289932,-0.153990,-0.185204,0.420049,-0.013116,-0.189984,0.422596,0.242440,0.357378,0.423267,0.253785,0.084958,0.287021,0.391791,0.197892,0.296602,0.129387,0.236904,0.297333,0.106534,-0.059897,0.293420,0.119203,-0.041367,0.293516,0.088128,0.077656,0.552936,0.396099,0.212413,0.696037,0.124994,-0.041911,0.691814,0.119704,0.093060,0.546998,-0.152130,0.362628,0.424496,-0.006181
8,0.022222,,,,,,,,0.092906,0.289944,-0.153991,-0.185210,0.420058,-0.013132,-0.189981,0.422589,0.242443,0.357381,0.423266,0.253787,0.084965,0.287025,0.391792,0.197890,0.296604,0.129387,0.236901,0.297333,0.106533,-0.059898,0.293417,0.119202,-0.041368,0.293516,0.088130,0.077658,0.552934,0.396094,0.212404,0.696038,0.124992,-0.041914,0.691813,0.119702,0.093054,0.546995,-0.152135,0.362625,0.424490,-0.006173
9,0.025000,,,,,,,,0.092903,0.289949,-0.153983,-0.185211,0.420069,-0.013138,-0.189981,0.422585,0.242449,0.357385,0.423267,0.253790,0.084972,0.287024,0.391795,0.197893,0.296603,0.129384,0.236902,0.297334,0.106534,-0.059898,0.293419,0.119202,-0.041369,0.293514,0.088129,0.077661,0.552932,0.396097,0.212404,0.696037,0.124992,-0.041922,0.691813,0.119702,0.093058,0.547003,-0.152134,0.362627,0.424487,-0.006169
10,0.027778,,,,,,,,0.092903,0.289941,-0.153977,-0.185211,0.420070,-0.013143,-0.189976,0.422581,0.242453,0.357367,0.423248,0.253787,0.084975,0.287020,0.391800,0.197892,0.296606,0.129388,0.236905,0.297358,0.106567,-0.059605,0.293460,0.119508,-0.041367,0.293517,0.088129,0.077667,0.552937,0.396096,0.212405,0.696036,0.124994,-0.041924,0.691814,0.119701,0.093046,0.546999,-0.152140,0.362623,0.424486,-0.006168
11,0.030556,,,,,,,,0.092904,0.289931,-0.153976,-0.185214,0.420070,-0.013152,-0.189977,0.422581,0.242458,0.357389,0.423268,0.253781,0.084971,0.287015,0.391801,0.197890,0.296606,0.129388,0.236905,0.297336,0.106534,-0.059600,0.293459,0.119507,-0.041370,0.293517,0.088131,0.077680,0.552945,0.396103,0.212401,0.696035,0.124994,-0.041926,0.691813,0.119701,0.093040,0.547005,-0.152135,0.362617,0.424489,-0.006157
12,0.033333,,,,,,,,0.092908,0.289920,-0.153980,-0.185212,0.420060,-0.013153,-0.189973,0.422583,0.242461,0.357392,0.423269,0.253773,0.084971,0.287010,0.391803,0.197892,0.296606,0.129387,0.236902,0.297336,0.106534,-0.059605,0.293461,0.119506,-0.041370,0.293516,0.088132,0.077681,0.552948,0.396107,0.212399,0.696036,0.124993,-0.041923,0.691814,0.119702,0.093041,0.547008,-0.152129,0.362623,0.424493,-0.006159
13,0.036111,,,,,,,,0.092907,0.289914,-0.153988,-0.185216,0.420050,-0.013153,-0.189970,0.422586,0.242464,0.357393,0.423273,0.253772,0.084970,0.287011,0.391795,0.197891,0.296604,0.129387,0.236901,0.297333,0.106536,-0.059895,0.293418,0.119204,-0.041369,0.293512,0.088125,0.077689,0.552944,0.396110,0.212401,0.696036,0.124995,-0.041924,0.691814,0.119701,0.093033,0.547001,-0.152133,0.362615,0.424498,-0.006163
14,0.038889,,,,,,,,0.092903,0.289922,-0.153988,-0.185222,0.420041,-0.013153,-0.189969,0.422589,0.242470,0.357395,0.423277,0.253768,0.084975,0.287020,0.391796,0.197889,0.296605,0.129390,0.236903,0.297333,0.106535,-0.059605,0.293459,0.119506,-0.041372,0.293512,0.088128,0.077689,0.552943,0.396110,0.212400,0.696035,0.124993,-0.041923,0.691813,0.119700,0.093037,0.546996,-0.152129,0.362616,0.424504,-0.006176
15,0.041667,,,,,,,,0.092902,0.289930,-0.153993,-0.185218,0.420033,-0.013149,-0.189968,0.422591,0.242479,0.357392,0.423277,0.253768,0.084973,0.287026,0.391796,0.197890,0.296604,0.129389,0.236904,0.297357,0.106570,-0.059897,0.293418,0.119204,-0.041369,0.293517,0.088130,0.077682,0.552932,0.396100,0.212404,0.696036,0.124994,-0.041921,0.691813,0.119702,0.093030,0.546988,-0.152134,0.362615,0.424508,-0.006187
